Dead / Alive , Head Injury Level,Made By,Model,Year,Chest,Left Leg,Right Leg,Driver or Paseanger,Protection,Power/Watt,Size of Car
Deceased,1855,Yugo,GV,87,45,,701,Driver,manual belts,1850,mini
Alive,379,Yugo,GV,87,41,585,172,Passenger,manual belts,1850,mini
Deceased,2140,Volkswagen,Fox,87,52,723,450,Passenger,manual belts,2140,lt
Alive,1801,Volkswagen,Fox,87,52,484,924,Driver,manual belts,2140,lt
Alive,1184,Toyota,Pickup,87,57,437,364,Driver,manual belts,2508,pu
Alive,973,Toyota,Camry,87,46,1200,1167,Passenger,passive belts,2780,comp
Alive,871,Toyota,Camry,87,51,1380,1160,Driver,passive belts,2780,comp
Deceased,699,Toyota,Pickup,87,39,500,532,Passenger,manual belts,2508,pu
Alive,1339,Subaru,GL,87,58,1016,485,Driver,manual belts,2254,lt
Deceased,884,Subaru,GL,87,44,694,309,Passenger,manual belts,2254,lt
Alive,611,Subaru,Justy DL,87,42,529,595,Driver,manual belts,1660,mini
Alive,547,Subaru,Justy DL,87,38,1256,426,Passenger,manual belts,1660,mini
,584,Saab,9000,87,37,120,435,Driver,manual belts,2990,comp
Deceased,440,Saab,9000,87,35,346,638,Passenger,manual belts,2990,comp
Alive,846,Pontiac,Grand Am,87,44,879,497,Driver,passive belts,2530,comp
Alive,603,Pontiac,Sunbird,87,36,428,483,Driver,manual belts,2415,lt
Deceased,601,Pontiac,Grand Am,87,41,1848,529,Passenger,passive belts,2530,comp
Alive,404,Pontiac,Sunbird,87,37,1079,211,Passenger,manual belts,2415,lt
Deceased,903,Plymouth,Voyager,87,43,776,453,Driver,manual belts,3040,van
Alive,873,Plymouth,Sundance,87,52,717,467,Driver,manual belts,2580,comp
Alive,501,Plymouth,Voyager,87,47,1595,275,Passenger,manual belts,3040,van
,,Plymouth,Sundance,87,41,832,540,Passenger,manual belts,2580,comp
Alive,1831,Peugeot,505,87,60,300,535,Driver,manual belts,2900,comp
Deceased,1786,Peugeot,505,87,50,546,176,Passenger,manual belts,2900,comp
Alive,405,Oldsmobile,Calais,87,70,1085,1435,Driver,passive belts,2650,comp
Alive,328,Oldsmobile,Calais,87,40,1737,555,Passenger,passive belts,2650,comp
Deceased,2034,Nissan,Sentra,87,61,803,304,Driver,manual belts,2296,lt
Alive,1465,Nissan,Pickup,87,57,252,420,Driver,manual belts,2714,pu
Alive,1244,Nissan,Pickup,87,45,531,617,Passenger,manual belts,2714,pu
Alive,1226,Nissan,200sx,87,53,1390,103,Driver,manual belts,2739,comp
,799,Nissan,Sentra,87,,615,415,Passenger,manual belts,2296,lt
,664,Nissan,200sx,87,37,740,89,Passenger,manual belts,2739,comp
Alive,952,Mitsubishi,Starion,87,48,1260,1369,Driver,passive belts,3020,med
Alive,377,Mitsubishi,Starion,87,46,1752,1323,Passenger,passive belts,3020,med
Alive,743,Mercury,Topaz,87,64,585,957,Driver,d airbag,2725,comp
Alive,626,Mercury,Topaz,87,40,1277,455,Passenger,d airbag,2725,comp
Deceased,846,Mazda,626,87,52,820,1487,Driver,passive belts,2590,comp
Deceased,801,Mazda,626,87,46,1300,1255,Passenger,passive belts,2590,comp
Deceased,2700,Jeep,Comanche,87,48,923,761,Passenger,manual belts,2907,pu
,1229,Jeep,Wrangler YJ 4x4,87,40,758,783,Passenger,manual belts,3120,mpv
Alive,1052,Jeep,Comanche,87,62,925,319,Driver,manual belts,2907,pu
Deceased,758,Jeep,Wrangler YJ 4x4,87,44,1100,1015,Driver,manual belts,3120,mpv
Deceased,1809,Isuzu,IMark,87,53,351,365,Driver,manual belts,2100,lt
Alive,1764,Isuzu,Spacecab,87,65,274,483,Driver,manual belts,2766,pu
Deceased,1067,Isuzu,Spacecab,87,58,279,480,Passenger,manual belts,2766,pu
Alive,1042,Isuzu,IMark,87,51,747,225,Passenger,manual belts,2100,lt
Alive,1003,Hyundai,Excel,87,43,345,775,Passenger,manual belts,2180,lt
Alive,757,Hyundai,Excel,87,54,2408,1187,Driver,passive belts,2200,lt
Alive,716,Hyundai,Excel,87,55,790,1360,Driver,manual belts,2180,lt
Alive,345,Hyundai,Excel,87,46,1794,1006,Passenger,passive belts,2200,lt
Alive,769,Honda,Accord,87,46,863,1244,Driver,passive belts,2440,lt
Alive,382,Honda,Accord,87,36,695,558,Passenger,passive belts,2440,lt
